Eg_I_Sn_eV,Eg_Br_Sn_eV,bowing_eV,Eg_I_z050_eV,Eg_Br_Ge_eV,Eh00_multiplier,Eh10_multiplier,Eh05_multiplier,Eh105_multiplier,Eox00_offset_eV,Eox10_offset_eV,Eox05_offset_eV,Eox105_offset_eV
1.3275995452215674,1.7075333439595877,0.15067335332303836,1.472286590007038,2.4527972874568267,1.1479431189146032,1.142153845448315,1.0249917852384949,0.9838316979292101,0.035287216685111755,-0.08079000126744262,0.08987800347004621,-0.03141473296225454
1.3044762216380328,1.8086268772032845,0.2680207041744204,1.5325652684002595,2.648586381310394,0.9602942157482571,1.1462128233002296,1.1507546171741587,1.085797959544928,0.0037978495045131178,0.017533751854013097,0.018615725490545548,0.050109701994739964
1.2949158933098608,1.899569370364081,0.23412322215015274,1.5021854222846778,2.4441367673310017,1.1212837289127149,0.9499864510493161,0.8195996640120794,1.1723042667333448,0.06875156684419953,0.07724178232802167,-0.07246426622238086,-0.09840412615971295
1.337481197032753,1.8515656718801057,0.09012804969269295,1.4734487663107658,2.3958510072131523,1.0553322364552202,1.1983804781959684,1.1577794396781875,0.9216355703741875,-0.01690686076874086,-0.013603987297624812,-0.057296602876532834,-0.06756447079588954
1.2933169801767412,1.8690032391444973,0.16161397305319747,1.5218921711551405,2.409028048611215,0.9528669045131533,0.8715850441385592,0.9773838349170904,1.1398628507507238,0.024928457702872178,-0.017523568562258465,0.011097903628113068,0.0002344708223449149
1.3001369110967973,1.7338328997982588,0.20072603504865594,1.5255618598699363,2.5195393243816264,1.1892831796298822,1.1019633834501785,0.8635476485090875,1.0367990735408088,0.07645012281289579,-0.09053952277002382,-0.04444159227618101,-0.040888384637176714
1.2860014871791259,1.7282232525576697,0.1661180520601961,1.542926446881649,2.3583076567788166,0.939810520626289,0.8591476232111843,1.0521191636197698,0.8872352040298775,0.003286323299950711,0.021914368392184372,0.0002396747015363243,0.051661117036183146
1.3251701606371336,1.8546037493929415,0.20327597513554835,1.528622802197331,2.554572607060063,1.0295687563222726,1.1532018908027446,0.8338316885914827,0.9482364225440133,0.07449268645185322,-0.0719322503905993,-0.03714441782279762,-0.061568434392100746
1.3013427824375376,1.7082893833903035,0.06848420100325332,1.5061594756241774,2.461278710944235,1.0062526342612108,1.1552998479799013,0.8071207225437411,1.142059102178827,-0.08862673451143713,0.03553470397797959,0.06483624464594037,-0.043396385002969586
1.3143638483031834,1.8424093732498519,0.16131955737271528,1.4957271039458302,2.5243583204018187,0.9977557039953308,1.1600742172963632,0.934943561784153,1.1220128994350183,0.011442572420320804,0.001192334429318806,0.05975638897073143,0.07544904091106738
